File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
100, 34132114, 140281, 37849947, 45256
101, 34965024, 142967, 57601442, 141694
102, 35819170, 148388, 39266151, 42661
103, 36678871, 151154, 60687457, 149811
104, 37566019, 156807, 40559048, 35823
105, 38450341, 159765, 40582247, 29097
106, 39340273, 165553, 40724791, 17417
107, 40265166, 168593, 67182205, 167091
108, 41199839, 174733, 42660374, 17941
109, 42142347, 177846, 70597741, 176362
110, 43095728, 184140, 44635007, 18693
111, 44070999, 187342, 45827119, 22627
112, 45050503, 193870, 46671308, 19009
113, 46047702, 197270, 77753534, 195621
114, 47057742, 203949, 48946441, 21601
115, 48080623, 207442, 50401577, 34925
116, 49118592, 214501, 51291013, 24460
117, 50179083, 218076, 52211935, 25113
118, 51246341, 225292, 53128848, 151611
119, 52331642, 228960, 57330902, 84124
120, 53421849, 236442, 55600756, 23533
121, 54541169, 240324, 58509343, 83059
122, 55664287, 247960, 57736030, 273453
123, 56819993, 251940, 67304781, 127463
124, 57972266, 259981, 60577211, 27325
125, 59151926, 264050, 66511728, 104009
126, 60336885, 272255, 62610102, 311542
127, 61535134, 276430, 106551648, 274396
128, 62749875, 284924, 65590913, 28705
129, 63990846, 289311, 66660982, 29542
130, 65256480, 297966, 69651315, 45371
131, 66504989, 302467, 115911993, 300239
132, 67795295, 311419, 71377758, 35363
133, 69079949, 316016, 76067561, 108308
134, 70394548, 325415, 73232602, 208736
135, 71724385, 330116, 76305725, 49823
136, 73054876, 339542, 79800903, 67914
137, 74421165, 344480, 130935127, 342082
138, 75799616, 354358, 79828911, 38611
139, 77202737, 359411, 136228909, 356909
140, 78622807, 369465, 86678040, 81026
141, 80034051, 374619, 83461871, 34206
142, 81481373, 385147, 84829657, 244040
143, 82926134, 390411, 88896022, 106605
144, 84402675, 400969, 88036876, 449058
145, 85884829, 406485, 90198819, 51062
146, 87399492, 417523, 112211767, 257735
147, 88928651, 423158, 98285147, 101534
148, 90468995, 434380, 94704098, 36810
149, 92022571, 440122, 164731397, 437365
150, 93610078, 451841, 99908001, 59305
151, 95189180, 457701, 170866258, 454832
152, 96789411, 469451, 106232738, 89757
153, 98427021, 475576, 102743251, 39412
154, 100097663, 487835, 110840612, 104102
155, 101743006, 494087, 106910952, 57763
156, 103406926, 506535, 108306502, 40365
157, 105115336, 512902, 190179618, 509841
158, 106837785, 525875, 111382423, 326214
159, 108577118, 532365, 113389830, 41731
160, 110312982, 545376, 115569219, 42058
161, 112091379, 552143, 118574673, 81954
162, 113887383, 565686, 118961971, 43273
163, 115677451, 572586, 210874791, 569163
164, 117511080, 586327, 137158469, 189674
165, 119354383, 593347, 124700159, 45010
166, 121212224, 607640, 126449110, 373469
167, 123103135, 614790, 225484277, 611293
168, 125007793, 629122, 130634219, 46164
169, 126920801, 636564, 136832088, 172672
170, 128867748, 651460, 134283224, 51188
171, 130822628, 659035, 139217255, 76283
172, 132805811, 674128, 138406092, 724868
173, 134798574, 681841, 248619214, 678145
174, 136831604, 697520, 142628223, 58601
