File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
100,34132108,140005,37849947,13946
101,34965024,142690,57601442,141074
102,35819170,148126,39266149,34457
103,36678877,150893,60687457,149224
104,37566019,156536,40559054,35486
105,38450341,159485,40582252,27989
106,39340268,165286,40724785,17150
107,40265166,168324,67182159,166503
108,41199847,174458,42660374,17655
109,42142343,177570,70597741,175788
110,43095727,183877,44635009,18401
111,44070993,187080,45827119,22296
112,45050505,193599,46671308,18725
113,46047698,197000,77753534,195069
114,47057742,203690,48946452,21331
115,48080623,207184,50401569,31994
116,49118592,214234,51291015,24161
117,50179073,217809,52211936,24801
118,51246335,225038,53128840,20617
119,52331642,228706,57330901,26961
120,53421853,236181,55600762,23242
121,54541163,240060,58509341,35178
122,55664293,247708,57736031,21570
123,56819998,251689,67304789,48994
124,57972264,259723,60577211,27029
125,59151932,263793,66511730,25601
126,60336884,272010,62610102,22988
127,61535134,276181,106551648,273901
128,62749870,284673,65128555,23368
129,63990840,289061,66660988,29242
130,65256484,297722,69651315,45104
131,66504983,302224,115911987,299748
132,67795289,311179,71377752,35069
133,69079949,315777,76067561,32837
134,70394554,325174,73109043,25498
135,71724385,329876,76305719,49494
136,73054887,339305,79800903,67637
137,74421163,344242,130935127,341599
138,75799616,354121,79828911,38344
139,77202748,359174,136228920,356431
140,78622803,369229,86678042,80745
141,80034061,374383,83461867,33918
142,81481373,384911,84690760,28164
143,82926139,390175,88896022,47866
144,84402681,400736,87744539,28429
145,85884829,406251,90198819,50742
146,87399492,417289,112211773,257484
147,88928655,422925,98285141,101205
148,90468995,434147,94704104,36523
149,92022565,439890,164731397,436894
150,93610072,451608,99908001,58978
151,95189180,457470,170866264,454374
152,96789411,469220,106232734,89453
153,98427019,475346,102743245,39124
154,100097669,487603,110840612,103825
155,101743012,493856,106910964,57454
156,103406921,506308,108306496,40079
157,105115330,512674,190179624,509375
158,106837791,525647,111210176,33911
159,108577124,532138,113389840,41440
160,110312986,545152,114847907,34202
161,112091389,551921,118574666,81624
162,113887337,565460,118958530,39012
163,115677411,572362,210874791,568712
164,117511046,586110,137158429,189356
165,119354343,593130,124700153,44738
166,121212178,607422,126258801,365926
167,123103095,614573,225484277,610843
168,125007759,628905,130630658,41494
169,126920750,636348,136832082,72634
170,128867708,651244,134275969,689784
171,130822577,658817,139217257,75976
172,132805809,673920,138401186,715594
173,134798534,681628,248619219,677675
174,136831565,697305,142618334,764427
175,138875124,705145,154769670,185880
