File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
100, 34132108, 140281, 35448058, 19442
101, 34965024, 142967, 36317552, 19751
102, 35819176, 148388, 37208962, 20469
103, 36678871, 151154, 38106595, 20640
104, 37566021, 156807, 39032349, 20540
105, 38450347, 159765, 39955986, 21054
106, 39340279, 165553, 40885903, 21080
107, 40265166, 168593, 41851484, 21626
108, 41199843, 174733, 42827543, 21842
109, 42142343, 177846, 43812155, 22170
110, 43095722, 184140, 44808346, 22441
111, 44070999, 187342, 45827161, 22619
112, 45050505, 193870, 46850937, 23142
113, 46047698, 197270, 48077527, 27970
114, 47057736, 203949, 49136544, 28943
115, 48080629, 207442, 50018293, 24645
116, 49118598, 214501, 51297660, 29251
117, 50179073, 218076, 52409456, 30240
118, 51246346, 225292, 53528819, 31266
119, 52331646, 228960, 54462849, 25328
120, 53421849, 236442, 55810929, 31009
121, 54541169, 240324, 56984762, 31509
122, 55664293, 247960, 57948765, 26895
123, 56819992, 251940, 59375060, 32782
124, 57972260, 259981, 60584318, 33270
125, 59151926, 264050, 61821791, 33793
126, 60336879, 272255, 62836867, 312319
127, 61535140, 276430, 64323151, 35118
128, 62749870, 284924, 65598243, 34597
129, 63990846, 289311, 67141638, 41089
130, 65256480, 297966, 67985064, 316465
131, 66504989, 302467, 69539586, 36459
132, 67795289, 311419, 71146084, 43345
133, 69079943, 316016, 72499201, 44008
134, 70394548, 325415, 73365204, 31132
135, 71724389, 330116, 74757713, 32191
136, 73054881, 339542, 76685084, 44951
137, 74421167, 344480, 78123533, 45620
138, 75799616, 354358, 79299674, 39925
139, 77202737, 359411, 80495513, 183405
140, 78622803, 369465, 82264028, 40143
141, 80034051, 374619, 84034581, 48651
142, 81481373, 385147, 85558831, 49214
143, 82926134, 390411, 86492692, 35509
144, 84402681, 400969, 88039976, 35407
145, 85884823, 406485, 90198939, 50088
146, 87399486, 417523, 92104256, 61098
147, 88928647, 423158, 93719440, 62498
148, 90469001, 434380, 94712543, 44085
149, 92022569, 440122, 96027542, 37625
150, 93610078, 451841, 98013868, 45579
151, 95189180, 457701, 100334399, 65408
152, 96789417, 469451, 102025865, 64576
153, 98427015, 475576, 103416099, 55975
154, 100097663, 487835, 104494205, 39570
155, 101743006, 494087, 106220796, 40363
156, 103406927, 506535, 108315395, 48484
157, 105115330, 512902, 111183424, 76573
158, 106837791, 525875, 113008047, 77305
159, 108577131, 532365, 114115766, 59498
160, 110312976, 545376, 115578342, 51285
161, 112091385, 552143, 117448572, 51942
162, 113887377, 565686, 119337465, 51487
163, 115677451, 572586, 122375475, 83781
164, 117511080, 586327, 124318086, 84355
165, 119354389, 593347, 125875198, 74601
166, 121212218, 607640, 127044536, 54342
167, 123103137, 614790, 129033706, 54819
168, 125007798, 629122, 131037721, 55940
169, 126920790, 636564, 133461788, 65758
170, 128867750, 651460, 136775822, 104277
171, 130822617, 659035, 138852792, 106517
172, 132805851, 674133, 140096923, 78459
173, 134798580, 681841, 141341847, 58260
