File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
100, 34132114, 140281, 35162338, 140283
101, 34965023, 142967, 36026153, 142969
102, 35819170, 148388, 36911818, 148390
103, 36678876, 151154, 37803661, 151156
104, 37566019, 156807, 38723557, 156809
105, 38450347, 159765, 39641281, 159767
106, 39340274, 165553, 40565234, 165555
107, 40265166, 168593, 41524799, 168595
108, 41199845, 174733, 42494788, 174736
109, 42142349, 177846, 43473257, 177848
110, 43095728, 184140, 44463272, 184142
111, 44070993, 187342, 45475833, 187344
112, 45050499, 193870, 46493307, 193873
113, 46047694, 197270, 47529154, 197272
114, 47057744, 203949, 48578526, 203951
115, 48080628, 207442, 49641431, 207444
116, 49118598, 214501, 50720112, 214503
117, 50179073, 218076, 51822022, 218078
118, 51246345, 225292, 52931399, 225294
119, 52331642, 228960, 54059546, 228962
120, 53421849, 236442, 55193321, 236444
121, 54541168, 240324, 56356919, 240326
122, 55664293, 247960, 57525055, 247962
123, 56819987, 251940, 58726517, 251942
124, 57972266, 259981, 59925284, 259983
125, 59151931, 264050, 61152200, 264052
126, 60336879, 272255, 62385169, 272258
127, 61535134, 276430, 63632188, 276432
128, 62749876, 284924, 64896454, 284926
129, 63990846, 289311, 66187734, 289313
130, 65256486, 297966, 67504472, 297968
131, 66504994, 302467, 68804843, 302469
132, 67795289, 311419, 70147823, 311421
133, 69079954, 316016, 71485943, 316019
134, 70394556, 325415, 72854822, 325417
135, 71724385, 330116, 74239735, 330118
136, 73054876, 339542, 75626122, 339544
137, 74421159, 344480, 77049117, 344482
138, 75799616, 354358, 78485120, 354360
139, 77202743, 359411, 79946627, 359414
140, 78622802, 369465, 81425901, 369467
141, 80034057, 374619, 82897225, 374621
142, 81481373, 385147, 84405461, 385149
143, 82926128, 390411, 85911998, 390413
144, 84402681, 400969, 87451185, 400971
145, 85884823, 406485, 88996848, 406487
146, 87399492, 417523, 90575897, 417525
147, 88928653, 423158, 92170315, 423160
148, 90468995, 434380, 93776819, 434382
149, 92022570, 440122, 95397445, 440124
150, 93610072, 451841, 97052902, 451843
151, 95189174, 457701, 98700854, 457703
152, 96789417, 469451, 100370859, 469453
153, 98427021, 475576, 102079149, 475578
154, 100097663, 487835, 103821418, 487837
155, 101743012, 494087, 105539290, 494089
156, 103406927, 506535, 107276686, 506537
157, 105115330, 512902, 109059508, 512904
158, 106837791, 525875, 110857335, 525877
159, 108577123, 532365, 112672992, 532367
160, 110312976, 545376, 114486120, 545378
161, 112091389, 552143, 116342769, 552145
162, 113887377, 565686, 118217991, 565688
163, 115677457, 572586, 120088261, 572588
164, 117511086, 586327, 122003068, 586330
165, 119354383, 593347, 123928543, 593349
166, 121212224, 607640, 125869546, 607642
167, 123103135, 614790, 127844623, 614792
168, 125007793, 629122, 129834463, 629124
169, 126920790, 636564, 131833604, 636561
170, 128867746, 651460, 133867806, 651462
171, 130822617, 659035, 135910922, 659037
172, 132805849, 674133, 137983425, 674135
173, 134798584, 681841, 140066413, 681838
174, 136831599, 697520, 142190783, 697517
175, 138875158, 705358, 144326742, 705355
176, 140925374, 721071, 146470458, 721073
177, 142991172, 729218, 148630781, 729220
178, 145090632, 745519, 150825822, 745521
179, 147207158, 753811, 153039006, 753813
180, 149336660, 770336, 155266250, 770338
181, 151491843, 778758, 157520244, 778760
182, 153674968, 795894, 160270892, 800994
183, 155874145, 804453, 162576226, 805399
184, 158097810, 821617, 164907158, 818579
185, 160311326, 830504, 167229111, 823449
